Reviewer_Score,Review,label
10.0,The breakfast fast menu was limited  The location and it was cozy  ,1
10.0,Τhis hotel is very close to everything!  ,1
10.0,"Nothing The only thing that left a bad taste when leaving was that a cab would not take us to the train station( too short of a trip) in pouring down rain. We had planned to walk but it started raining really hard. Front desk tried asking them to no avail.😢 I am 77 and in good shape but it was difficult with luggage and umbrella and pouring down rain. Stressful start to my journey to my next destination.  The location, breakfast was great, staff was very helpful.  ",1
10.0,"N/A  It was close to everything, the rooms were clean and comfortable and the staff were so nice and so helpful.  ",1
5.4,we didn't get the room we orderd at the first night.  good location  ,0
6.3,Room not made up. When it was made up the tea bags etc were not filled up. Under the bed needed a vacuum  It was a bit of an effort for the guy to get shampoo and conditioner for us. It it always in the room.  Great location.  ,1
5.8,Size of room (window facing a wall) - a smell of drains - paintings hanging on walls ( lucky we weren’t with kids!) - no hot water for a while  Bed comfortable. Really kind staff in the breakfast room. Good breakfast  ,1
7.0,"Bathroom had frosted glass with holes in the frost(by design). Not the best when you are sharing a room.  Good locationClean roomQuiet despite being in the party end of Amsterdam.  ",1
9.6,The room is clean and comfortable! The location is also convenient with around 6 mins walk from central station  ,1
7.9,"Size of room.  Too small.   For the price we paid, I did expect a larger room.  Location and staff  ",1
8.8,"Rooms were quite cramped and we found it tight to move about.  Toilet and shower were simply behind a glass partition with no way of closing a door etc.  We couldn't check in till 3 so we had to change in the lobby toilet  Location was great, minutes walk away from everything you need or would like to see. Staff were friendly. Clean room.  ",1
7.5,Room very small but ok for 4 nights.  Location  ,1
8.8,Rooms are quite small/  Staff were very helpful and eager to please.  Rooms are clean and functional.  ,1
9.2,"Rooms were smaller than expected but as described online, so can't complain. Shame it didn't have a restaurant on site but lots of places to eat locally, within a few minutes walk.  Friendly staff, willing to give advice on places to visit or eat. Clean, central hotel, within walking distance of train station, shops, restaurants and Dam Square etc. Good breakfast. Comfy beds and pillows. Check out was at midday but we were able to leave luggage and still use facilities until we left at 1pm.  ",1
7.5,"No bedside tables.Glass door to bathroom didn’t close properly, nothing on door to stay closed!  Friendly staff, no problem checking in on arrival at 10am, we’re only thinking of leaving luggage.  ",1
9.2,"Great location, very central. Very good breakfast. Very helpful staff. Fast and easy check-in.  ",1
6.7,Décor; triple room very small for three people.  ,1
6.7,Design of the room made it very cramped. No space for the person sleeping next to the wall to get out of the bed easily. Housekeeping failed to clean room one day despite having reminded reception.  Excellent location for sightseeing and transport. Good breakfast. Nice view from room. Helpful reception staff.  ,1
9.6,Little expensive  Location and room and staff all great  ,1
7.9,"Bedroom is small and rather cramped. No iron and ironing board in the room.  Great location, near to the station and places of interests . Bed is very comfortable .  Water pressure is strong.  ",1
8.8,"Rooms are very small, but most European hotel rooms are.  Location is excellent (safe area, plenty of merchants, and excellent very close to Amsterdam Central train station).  ",1
9.6,"Location excellent, comfortable good breakfast.  ",1
7.9,First night we had a very very very small room not worth the value that we paid for a night but we were promised a change in the morning of which they did  It was right in the center - staff helpful and nice  ,1
7.9,"Everything was good  Location, location  ",1
9.6,"The space for the toilette was little tight  Grate location, nice and clean room, very good breakfast. Also the stuff was nice and helpful.  ",1
7.5,I could not get the temperature in my room regulated.  Not applicable  ,1
7.5,"The cleanliness of the room was not very nice to have dirty coffee cups and a bin in the bathroom which had not been emptied from a previous stay. We had asked the staff to remove this and we simply got a response ""Sorry, the cleaners have gone home"".  The location was wonderful, the beds were comfortable. We were welcomed with a lovely lady at the front reception called Kim, who made us feel very welcome to Amsterdam.  ",1
9.6,The flow of water in the basin was atrickle. It was barely adequate to wash hands.  The breakfast was good but expensive  ,1
9.2,"Had 2 single beds when we had requested double.  Location, comfortable accommodation,  very clean, brilliant staff, bag storage.  ",1
7.9,Glass walled room en-suite meant if putting light on during night visit to loo lit up whole room and disturbed partner.  Good breakfast buffet.  Good location within 15 minutes walk of railway station.  ,1
7.1,Very poor wifi connection. Poor drainage of sink and shower basin.  Convenient check-in and check-out. Good security as key card is required for entry and using lift. Good street view.  ,1
